county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
San Joaquin,4/21/2020,,,,,
San Luis Obispo,4/21/2020,154,,14,14,
San Mateo,4/21/2020,94,64,,,
Santa Barbara,4/21/2020,85,,,,
Santa Clara,4/21/2020,575,226,105,105,
Santa Cruz,4/21/2020,27,20,35,,
Shasta ,4/21/2020,20,,,,
Sierra,4/21/2020,,,,,
Siskiyou,4/21/2020,,,,,
Solano ,4/21/2020,,,,,
Sonoma,4/21/2020,45,45,,,
Stanislaus,4/21/2020,121,,,,
Sutter,4/21/2020,16,16,,,
Tehama,4/21/2020,,,,,
Trinity,4/21/2020,,,,,
Tulare,4/21/2020,56,,,,
Tuolumne,4/21/2020,,,,,
Ventura,4/21/2020,398,275,,,
Yolo,4/21/2020,246,206,,,
Yuba,4/21/2020,35,18,,,
Alameda,4/22/2020,403,346,91,91,
Alpine,4/22/2020,,,,,
Amador,4/22/2020,,,,,
Butte,4/22/2020,82,82,,,
Calaveras,4/22/2020,20,20,,,
Colusa,4/22/2020,,,,,
Contra Costa,4/22/2020,340,,,,
Del Norte,4/22/2020,,,,,
El Dorado,4/22/2020,,,,,
Fresno,4/22/2020,305,250,28,28,
Glenn,4/22/2020,,,,,
Humboldt,4/22/2020,44,11,15,,
Imperial,4/22/2020,36,,37,,
Inyo,4/22/2020,,,,,
Kern,4/22/2020,,,15,15,
Kings,4/22/2020,,,,,
Lake,4/22/2020,,,,,
Lassen,4/22/2020,,,,,
Los Angeles,4/22/2020,3292,1054,658,647,
Madera,4/22/2020,,,,,
Marin,4/22/2020,132,80,44,,
Mariposa,4/22/2020,44,12,,,
Mendocino,4/22/2020,143,104,,,
Merced,4/22/2020,,,,,
Modoc,4/22/2020,,,,,
Mono,4/22/2020,48,,,,
Monterey,4/22/2020,142,,108,15,
Napa,4/22/2020,104,48,18,,
Nevada,4/22/2020,27,,,,
Orange,4/22/2020,276,31,78,78,
Placer,4/22/2020,32,32,12,,
Plumas,4/22/2020,,,,,
Riverside,4/22/2020,422,303,15,15,
Sacramento,4/22/2020,316,63,63,63,
San Benito,4/22/2020,67,61,,,
San Bernardino,4/22/2020,50,37,20,,20
San Diego,4/22/2020,2029,409,44,44,
San Francisco,4/22/2020,1328,729,,,
San Joaquin,4/22/2020,,,,,
San Luis Obispo,4/22/2020,154,,14,14,
San Mateo,4/22/2020,134,85,,,
Santa Barbara,4/22/2020,85,,,,
Santa Clara,4/22/2020,575,230,105,105,
Santa Cruz,4/22/2020,27,20,35,,
Shasta,4/22/2020,20,,,,
Sierra,4/22/2020,,,,,
Siskiyou,4/22/2020,,,,,
Solano,4/22/2020,,,,,
Sonoma,4/22/2020,45,45,,,
Stanislaus,4/22/2020,121,19,,,
Sutter,4/22/2020,16,16,,,
Tehama,4/22/2020,,,,,
Trinity,4/22/2020,,,,,
Tulare,4/22/2020,56,,,,
Tuolumne,4/22/2020,,,,,
Ventura,4/22/2020,398,275,,,
Yolo,4/22/2020,246,206,,,
Yuba,4/22/2020,41,18,,,
Alameda ,4/23/2020,403,346,91,91,
Alpine ,4/23/2020,,,,,
Amador ,4/23/2020,,,,,
Butte ,4/23/2020,87,87,,,
Calaveras ,4/23/2020,75,20,,,
Colusa ,4/23/2020,,,,,
Contra Costa ,4/23/2020,340,129,,,
Del Norte ,4/23/2020,,,,,
El Dorado ,4/23/2020,26,,,,
Fresno ,4/23/2020,305,250,28,28,
Glenn ,4/23/2020,,,,,
Humboldt,4/23/2020,44,11,15,,
Imperial ,4/23/2020,36,,37,,
Inyo ,4/23/2020,,,,,
Kern ,4/23/2020,,,15,15,
Kings ,4/23/2020,,,,,
Lake ,4/23/2020,15,,,,
Lassen ,4/23/2020,,,,,
Los Angeles ,4/23/2020,3292,1054,658,649,
Madera ,4/23/2020,,,,,
Marin ,4/23/2020,132,96,44,,
Mariposa ,4/23/2020,44,12,,,
Mendocino ,4/23/2020,146,107,,,
Merced ,4/23/2020,,,,,
Modoc ,4/23/2020,,,,,
Mono ,4/23/2020,48,,,,
Monterey ,4/23/2020,142,,108,15,
Napa ,4/23/2020,104,48,18,,
Nevada ,4/23/2020,27,,,,
Orange ,4/23/2020,275,81,78,78,
Placer ,4/23/2020,32,32,12,,
Plumas ,4/23/2020,,,,,
Riverside ,4/23/2020,422,303,15,15,
Sacramento ,4/23/2020,316,63,63,63,
San Benito ,4/23/2020,67,40,,,
San Bernardino ,4/23/2020,50,37,20,,20
San Diego ,4/23/2020,2029,409,44,44,
San Francisco,4/23/2020,1328,809,91,59,
San Joaquin ,4/23/2020,,,,,
San Luis Obispo ,4/23/2020,154,,14,14,
San Mateo ,4/23/2020,136,92,,,
Santa Barbara ,4/23/2020,98,34,,,
Santa Clara ,4/23/2020,615,243,105,105,
